Origin,Destination,Distance,Current Rate
BACOLOD,BACOLOD CITY,20,3256.63
BACOLOD,TALISAY/MURCIA,30,3673.33
BACOLOD,SILAY/BAGO/PULUPANDAN,40,4090.03
BACOLOD,EB MAGALONA/VALLADOLID/SAN ENRIQUE/MA-AO/LACARLOTA,60,4923.43
BACOLOD,VICTORIAS/PONTEVEDRA,80,5756.83
BACOLOD,DSB/MANAPLA/HINIGARAN,100,6590.23
BACOLOD,LA CASTELLANA/BINALBAGAN,120,7423.62
BACOLOD,MOISES PADILLA/ISABELA/CADIZ/HIMAMAYLAN,140,8257.02
BACOLOD,SAN CARLOS VIA DSB,160,9090.42
BACOLOD,CANLAON/SAGAY/KABANKALAN,180,9923.82
BACOLOD,ILOG/ESCALANTE,200,10757.22
BACOLOD,CAUAYAN,220,11590.62
BACOLOD,TOBOSO,240,12424.02
BACOLOD,CALATRAVA/CANDONI,280,14090.81
BACOLOD,SAN CARLOS VIA NORTH,300,14924.21
BACOLOD,SIPALAY,340,16591.01
BACOLOD,HINOBAAN,380,18257.81
